Name,Y,X,Type,Platform / Entrance,Line,Step Free,Description
Tufnell Park,51.55663,-0.13813,Station,Entrance,Northern,,
Turnham Green,51.495143,-0.25406,Station,Platform,District,,
Turnpike Lane,51.59031,-0.10308,Station,entrance,Piccadilly,No,
Upminster,51.55925,0.25177,Station,platforms,District,,
Upminster Bridge,51.55847,0.23509,Station,platforms,District,,
Upney,51.53824,0.09998,Station,platforms,District,,
Upton Park,51.53514,0.03373,Station,platforms,District and Hammersmith and City,,
Uxbridge,51.54687,-0.47725,Station,Platform,Piccadilly and Metropolitan,No,
Vauxhall,51.48603,-0.12369,Station,Entrance,Victoria,No,
Victoria,51.49662869,-0.14400853,Station,C/D Platform,Circle and District and Victoria,No,
Walthamstow Central,51.58293,-0.01996,Station,mainline platforms,Victoria,No,
Wanstead,51.57565,0.02864,Station,Entrance Hall,Central,,
Wapping,51.50451,-0.05607,Station,Exit,East London,,
Warren Street,51.5245,-0.1381,Station, ??,Northern and Victoria,No,
Warwick Avenue,51.52329728,-0.183777837,Station,Platform,Bakerloo,,
Waterloo,51.50322,-0.11328,Station,W+C / Bakerloo / Northern Line entrance and platform 18,Bakerloo and Northern and Waterloo and City,No,
Watford,51.65741058,-0.41745306,Station,Platform,Metropolitan,No,
Wembley Central,51.55122817,-0.29577538,Station,Platform,Bakerloo,,
Wembley Park,51.56355598,-0.279770242,Station,Platform,Jubilee and Metropolitan,No,
West Acton,51.51818,-0.28064,Station,Platform,Central,,
West Brompton,51.48681,-0.19475,Station,Platform,District,,
West Finchley,51.6092228122,-0.1887111523,Station,Platform,Northern,,
West Ham,51.527917,0.004141,Station,Platform,District and Hammersmith and City and Jubilee,,
West Hampstead,51.54716,-0.19275,Station,London Overground platform,London Overground,,
West Harrow,51.5795432,-0.353144584,Station,Platform,Metropolitan,,
West Kensington,51.49085,-0.20532,Station,Platform,District,,
West Ruislip,51.569324,-0.43674,Station,Platform,Central,,
Westbourne Park,51.520995,-0.201778,Station,Platform,Hammersmith and City,,
Westminster,51.50121,-0.12489,Station,Portcullis House exit,Circle and District and Jubilee,No,
White City,51.512206,-0.224226,Station,Platform,Central,,
Whitechapel,51.51946,-0.05951,Station,Exit,District and East London and Hammersmith and City,,
Willesden Green,51.54919,-0.22106,Station,Between entrances,Jubilee,,
Willesden Junction,51.53032031,-0.229378995,Station,Platform (Bakerloo),Bakerloo,,
Wimbledon,51.422,-0.20544,Station,Platform,District,No,
Wimbledon Park,51.43391,-0.19864,Station,Platform,District,,
Wood Green,51.59709,-0.10939,Station,Entrance,Piccadilly,No,
Woodford,51.60582,0.03328,Station,platforms,Central,,
Woodside Park,51.6181717296,-0.1855788879,Station,Platform,Northern,,
