Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
SRNBB_C31,SRNBB,C31,DEF_link,1,10000000,0,,,NULL,,
SRNBB_SRCFW,SRNBB,SRCFW,DEF_link,1,10000000,0,,,NULL,,
SRCFW_C26,SRCFW,C26,DEF_link,1,10000000,0,,,NULL,,
SRCFW_D37,SRCFW,D37,DEF_link,1,10000000,0,,,NULL,,
SRCFW_C34,SRCFW,C34,DEF_link,0.93,1000,0,,,NULL,,
SR8_C8,SR8,C8,DEF_link,1,10000000,11.352657,,,NULL,,
SR8_C39,SR8,C39,DEF_link,1,10000000,0,,,NULL,,
SR8_SAC,SR8,SAC,cost_link,1,64.8,0,,50000,NULL,NULL,
SRCLI_C17,SRCLI,C17,DEF_link,0.93,10000000,0,,,NULL,,
SRLB_C18,SRLB,C18,DEF_link,1,10000000,0,,,NULL,,
SRLB_NAPA,SRLB,NAPA,cost_link,0.94,10000000,0,,65000,NULL,NULL,
SRPR_D98,SRPR,D98,DEF_link,1,10000000,0,,,NULL,,
SRPR_C39,SRPR,C39,DEF_link,1,10000000,0,,,NULL,,
SRNHL_C42,SRNHL,C42,DEF_link,1,10000000,0.121,,,NULL,,
SRNHL_STOC,SRNHL,STOC,cost_link,1,10000000,0,,40000,NULL,NULL,
SRLV_C310,SRLV,C310,DEF_link,1,10000000,0,,,NULL,,
SREB_C310,SREB,C310,DEF_link,1,10000000,0,,,NULL,,
SREB_EB,SREB,EB,cost_link,1,10000000,0,,50000,NULL,NULL,
SR10_D670,SR10,D670,DEF_link,1,10000000,0,,,NULL,,
SRTR_D16,SRTR,D16,DEF_link,1,10000000,0,,,NULL,,
SRLL_SR81,SRLL,SR81,DEF_link,1,10000000,0,,,NULL,,
SRLL_C44,SRLL,C44,DEF_link,1,10000000,0,,,NULL,,
SR81_D662,SR81,D662,DEF_link,1,10000000,0,,,NULL,,
SRHHR_SR81,SRHHR,SR81,DEF_link,1,10000000,0,,,NULL,,
SRHHR_C44,SRHHR,C44,DEF_link,1,10000000,0,,,NULL,,
SR15_D892,SR15,D892,DEF_link,1,10000000,0,,,NULL,,
SR12_D816,SR12,D816,DEF_link,1,10000000,0,,,NULL,,
SR12_D714,SR12,D714,DEF_link,1,10000000,0,,,NULL,,
SRSCV_C315,SRSCV,C315,DEF_link,1,10000000,0,,,NULL,,
SRASF_OakFlat,SRASF,OakFlat,cost_link,1,13.5,0,,100000,NULL,NULL,
SRASF_SFPUC,SRASF,SFPUC,cost_link,1,10000000,0,,125000,NULL,NULL,
SR20_D642,SR20,D642,DEF_link,1,10000000,0,,,NULL,,
SR53_D632,SR53,D632,DEF_link,1,10000000,0,,,NULL,,
SR52_D622,SR52,D622,DEF_link,1,10000000,0,,,NULL,,
SRLK_C89,SRLK,C89,DEF_link,1,10000000,0,,,NULL,,
SRLS_C57,SRLS,C57,DEF_link,1,10000000,0,,,NULL,,
SRLI_C65,SRLI,C65,DEF_link,1,10000000,0,,,NULL,,
SRPF_C51,SRPF,C51,DEF_link,1,10000000,0,,,NULL,,
SR18_D605,SR18,D605,DEF_link,1,10000000,0,,,NULL,,
SR18_C72,SR18,C72,DEF_link,1,81.4,0,,,NULL,,
SR18_C49,SR18,C49,DEF_link,1,10000000,0,,,NULL,,
CVPM11_GW11,CVPM11,GW11,return_link,1,10000000,0,1,,NULL,,
CVPM10_D612,CVPM10,D612,return_link,1,10000000,0,0.74,,NULL,,
CVPM10_GW10,CVPM10,GW10,return_link,1,10000000,0,0.26,,NULL,,
CVPM12_D697,CVPM12,D697,return_link,1,10000000,0,0.62,,NULL,,
CVPM12_GW12,CVPM12,GW12,return_link,1,10000000,0,0.38,,NULL,,
CVPM14_GW14,CVPM14,GW14,return_link,1,10000000,0,1,,NULL,,
CVPM13_D695,CVPM13,D695,return_link,1,10000000,0,0.66,,NULL,,
CVPM13_GW13,CVPM13,GW13,return_link,1,10000000,0,0.34,,NULL,,
CVPM16_C59,CVPM16,C59,return_link,1,10000000,0,0.69,,NULL,,
CVPM16_GW16,CVPM16,GW16,return_link,1,10000000,0,0.31,,NULL,,
CVPM17_C59,CVPM17,C59,return_link,1,10000000,0,0.39,,NULL,,
CVPM17_GW17,CVPM17,GW17,return_link,1,10000000,0,0.61,,NULL,,
CVPM18_GW18,CVPM18,GW18,return_link,1,10000000,0,1,,NULL,,
CVPM15_C59,CVPM15,C59,return_link,1,10000000,0,0.6,,NULL,,
CVPM15_GW15,CVPM15,GW15,return_link,1,10000000,0,0.4,,NULL,,
CVPM19_GW19,CVPM19,GW19,return_link,1,10000000,0,1,,NULL,,
CVPM20_C73,CVPM20,C73,return_link,1,10000000,0,0.01,,NULL,,
CVPM20_GW20,CVPM20,GW20,return_link,1,10000000,0,0.99,,NULL,,
CVPM21_GW21,CVPM21,GW21,return_link,1,10000000,0,1,,NULL,,
D670_SRTR,D670,SRTR,DEF_link,1,10000000,0,,,NULL,,
D16_D653a,D16,D653a,DEF_link,1,10000000,0,,,NULL,,
D16_C172,D16,C172,DEF_link,0.83,111.3,0,,,NULL,,
D653a_D653b,D653a,D653b,DEF_link,1,10000000,3.925,,,NULL,,
D653b_D672,D653b,D672,DEF_link,1,10000000,0,,,NULL,,
D672_D675,D672,D675,DEF_link,1,10000000,0,,,NULL,,
D672_C172,D672,C172,DEF_link,0.83,10,0,,,NULL,,
D675_D676,D675,D676,DEF_link,1,10000000,0,,,NULL,,
