Name ,x,y,Location source,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
Sop691_ph2b,468300,106100,Water company defined,Water treatment works,PRT-WTW-PRT-0020,WRZ08,PRT,PRT,2017,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Farlington Wash water recovery (a)
Sop692_ph2b,468300,106100,Water company defined,Water treatment works,PRT-WTW-PRT-0021,WRZ08,PRT,PRT,2017,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Farlington Washwater Recovery (b)
Sop693_ph2b,520700,152700,Water company defined,Aquifer storage and recovery,SES-Aquifer storage and recovery-ESU-0030,WRZ19B,SES,ESU,2027,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,North Downs Unconfined Chalk AR
Sop694_ph2b,520700,152700,Water company defined,Aquifer storage and recovery,SES-Aquifer storage and recovery-ESU-0040,WRZ19B,SES,ESU,2027,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,North Downs LGS Aquifer storage and recovery
Sop701_ph2b,516200,156300,Water company defined,Aquifer storage and recovery,SES-Aquifer storage and recovery-SUT-0090,WRZ19A,SES,SUT,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,North Downs Confined Chalk AR extension 1
Sop1000_ph2b,516200,156300,Water company defined,Aquifer storage and recovery,SES-Aquifer storage and recovery-SUT-0091,WRZ19A,SES,SUT,2023,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,North Downs Confined Chalk AR extension 2
Sop695_ph2b,539900,154000,Water company defined,Existing groundwater,SES-Existing groundwater-ESU-0070,WRZ19B,SES,ESU,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Enhance borehole output (Lower Greensand) - increase in pump capacity & pesticide treatment at Source 35
Sop696_ph2b,524100,151400,Water company defined,Existing groundwater,SES-Existing groundwater-ESU-0080,WRZ19B,SES,ESU,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Upgrade WTW (Lower Greensand) - ammonia and pesticide treatment at Source 25
Sop1001_ph2b,537000,152500,Water company defined,Existing groundwater,SES-Existing groundwater-ESU-0110,WRZ19B,SES,ESU,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Replacement borehole at Source 34
Sop1002_ph2b,537000,152500,Water company defined,Existing groundwater,SES-Existing groundwater-ESU-0120,WRZ19B,SES,ESU,2018,NULL,60,arr/Array_Node_DO.csv,NULL,NULL,,,,arr/Array_Node_Financial_Cost.csv,NULL,1,NULL,arr/Array_Node_EnvSoc_Cost.csv,NULL,1,NULL,arr/Array_Node_OneOff_Cost.csv,NULL,1,NULL,1,NULL,1,NULL,1,NULL,1,,,,Hydrogen sulphide treatment at Source 34
