,,NYAA,DYAA,DYCP,MDO
MET1227_ph2b,4,6.564500247,6.564500247,6.564500247,6.564500247
MET1228_ph2b,4,7.034234299,7.034234299,7.034234299,7.034234299
LEA1040_ph2b,4,0.04,0.04,0.04,0.04
LEA1042_ph2b,4,0.2,0.2,0.2,0.2
LEA1044_ph2b,4,0.8,0.8,0.8,0.8
LEA1046_ph2b,4,2,2,2,2
LEA1048_ph2b,4,0.966508695,0.966508695,0.966508695,0.966508695
LEA1050_ph2b,4,0.218164909,0.218164909,0.218164909,0.218164909
LEA3000_ph2b,4,2,2,2,2
LEA3001_ph2b,4,2,2,2,2
LEA3002_ph2b,4,2,2,2,2
LEA3003_ph2b,4,2,2,2,2
LEA3004_ph2b,4,2,2,2,2
LEA3005_ph2b,4,2,2,2,2
LEA3006_ph2b,4,1,1,1,1
WEF1300_ph2b,4,0.173,0.173,0.173,0.173
WEF1415_ph2b,4,0.097,0.097,0.097,0.097
WEF1303_ph2b,4,0.109,0.109,0.109,0.109
WEF1416_ph2b,4,0.054,0.054,0.054,0.054
WEF1304_ph2b,4,0.434,0.434,0.434,0.434
WEF1417_ph2b,4,0.214,0.214,0.214,0.214
WEF1305_ph2b,4,0.608,0.608,0.608,0.608
WEF1418_ph2b,4,0.518,0.518,0.518,0.518
WEF1306_ph2b,4,1.413,1.413,1.413,1.413
WEF1419_ph2b,4,1.203,1.203,1.203,1.203
WEF1296_ph2b,4,0.475,0.475,0.475,0.475
WEF1420_ph2b,4,0.405,0.405,0.405,0.405
WEF1302_ph2b,4,0.119,0.119,0.119,0.119
WEF1421_ph2b,4,0.101,0.101,0.101,0.101
WEF1301_ph2b,4,0.171,0.171,0.171,0.171
WEF1422_ph2b,4,0.084,0.084,0.084,0.084
WEF1299_ph2b,4,0.106,0.106,0.106,0.106
WEF1423_ph2b,4,0.092,0.092,0.092,0.092
WEF1298_ph2b,4,0.116,0.116,0.116,0.116
WEF1424_ph2b,4,0.099,0.099,0.099,0.099
WEF1297_ph2b,4,0.004,0.004,0.004,0.004
WEF1425_ph2b,4,0.004,0.004,0.004,0.004
LEA1000_ph2b,4,0.5,0.5,0.5,0.5
LEA1002_ph2b,4,0.5,0.5,0.5,0.5
LEA1001_ph2b,4,0.5,0.5,0.5,0.5
LEA1003_ph2b,4,0.5,0.5,0.5,0.5
LEA1004_ph2b,4,0.5,0.5,0.5,0.5
LEA1005_ph2b,4,0.5,0.5,0.5,0.5
LEA1006_ph2b,4,0.5,0.5,0.5,0.5
LEA1007_ph2b,4,0.5,0.5,0.5,0.5
LEA1008_ph2b,4,0.5,0.5,0.5,0.5
LEA1009_ph2b,4,0.5,0.5,0.5,0.5
LEA1010_ph2b,4,0.5,0.5,0.5,0.5
LEA1011_ph2b,4,0.5,0.5,0.5,0.5
MET1148_ph2b,4,2.768,2.768,3.896,2.768
